Constituency,Leading Candidate,Leading Party,Trailing Candidate,Trailing Party,Margin,State
Muzaffarpur,RAJ BHUSHAN CHOUDHARY,Bharatiya Janata Party,AJAY NISHAD,Indian National Congress,234927,Bihar
Mysore,YADUVEER KRISHNADATTA CHAMARAJA WADIYAR,Bharatiya Janata Party,M. LAKSHMANA,Indian National Congress,139262,Karnataka
NAGAPATTINAM,SELVARAJ V,Communist Party of India,DR SURSITH SANKAR G,All India Anna Dravida Munnetra Kazhagam,208957,Tamil Nadu
NAGAUR,HANUMAN BENIWAL,Rashtriya Loktantrik Party,JYOTI MIRDHA,Bharatiya Janata Party,42225,Rajasthan
NAMAKKAL,MATHESWARAN V S,Dravida Munnetra Kazhagam,TAMILMANI S,All India Anna Dravida Munnetra Kazhagam,29112,Tamil Nadu
NILGIRIS,RAJA A,Dravida Munnetra Kazhagam,DR MURUGAN L,Bharatiya Janata Party,240585,Tamil Nadu
Nabarangpur,BALABHADRA MAJHI,Bharatiya Janata Party,PRADEEP KUMAR MAJHI,Biju Janata Dal,87536,Odisha
Nagaland,S SUPONGMEREN JAMIR,Indian National Congress,DR CHUMBEN MURRY,Nationalist Democratic Progressive Party,50984,Nagaland
Nagaon,PRADYUT BORDOLOI,Indian National Congress,SURESH BORAH,Bharatiya Janata Party,212231,Assam
Nagarkurnool,DR.MALLU RAVI,Indian National Congress,BHARATH PRASAD POTHUGANTI,Bharatiya Janata Party,94414,Telangana
Nagina,CHANDRASHEKHAR,Aazad Samaj Party (Kanshi Ram),OM KUMAR,Bharatiya Janata Party,151473,Uttar Pradesh
Nagpur,NITIN JAIRAM GADKARI,Bharatiya Janata Party,VIKAS THAKRE,Indian National Congress,137603,Maharashtra
Nainital-Udhamsingh Nagar,AJAY BHATT,Bharatiya Janata Party,PRAKASH JOSHI,Indian National Congress,334548,Uttarakhand
Nalanda,KAUSHALENDRA KUMAR,Janata Dal (United),DR. SANDEEP SAURAV,Communist Party of India (Marxist-Leninist) (Liberation),169114,Bihar
Nalgonda,KUNDURU RAGHUVEER,Indian National Congress,SAIDI REDDY SHANAMPUDI,Bharatiya Janata Party,559905,Telangana
Nanded,CHAVAN VASANTRAO BALWANTRAO,Indian National Congress,CHIKHALIKAR PRATAPRAO GOVINDRAO,Bharatiya Janata Party,59442,Maharashtra
Nandurbar,ADV GOWAAL KAGADA PADAVI,Indian National Congress,DR HEENA VIJAYKUMAR GAVIT,Bharatiya Janata Party,159120,Maharashtra
Nandyal,DR BYREDDY SHABARI,Telugu Desam,POCHA BRAHMANANDA REDDY,Yuvajana Sramika Rythu Congress Party,111975,Andhra Pradesh
Narsapuram,BHUPATHI RAJU SRINIVASA VARMA (B.J.P.VARMA),Bharatiya Janata Party,UMABALA GUDURI,Yuvajana Sramika Rythu Congress Party,276802,Andhra Pradesh
Narsaraopet,LAVU SRIKRISHNA DEVARAYALU,Telugu Desam,ANIL KUMAR POLUBOINA,Yuvajana Sramika Rythu Congress Party,159729,Andhra Pradesh
Nashik,RAJABHAU (PARAG) PRAKASH WAJE,Shiv Sena (Uddhav Balasaheb Thackrey),GODSE HEMANT TUKARAM,Shiv Sena,162001,Maharashtra
Navsari,C R PATIL,Bharatiya Janata Party,NAISHADHBHAI BHUPATBHAI DESAI,Indian National Congress,773551,Gujarat
Nawada,VIVEK THAKUR,Bharatiya Janata Party,SHRAWAN KUMAR,Rashtriya Janata Dal,67670,Bihar
Nellore,PRABHAKAR REDDY VEMIREDDY,Telugu Desam,VENUMBAKA VIJAYASAI REDDY,Yuvajana Sramika Rythu Congress Party,245902,Andhra Pradesh
New Delhi,BANSURI SWARAJ,Bharatiya Janata Party,SOMNATH BHARTI,Aam Aadmi Party,78370,Delhi
Nizamabad,ARVIND DHARMAPURI,Bharatiya Janata Party,JEEVANREDDY THATIPARTHI,Indian National Congress,109241,Telangana
North Goa,SHRIPAD YESSO NAIK,Bharatiya Janata Party,RAMAKANT KHALAP,Indian National Congress,116015,Goa
North-East Delhi,MANOJ TIWARI,Bharatiya Janata Party,KANHAIYA KUMAR,Indian National Congress,138778,Delhi
North-West Delhi,YOGENDER CHANDOLIYA,Bharatiya Janata Party,UDIT RAJ,Indian National Congress,290849,Delhi
Ongole,MAGUNTA SREENIVASULU REDDY,Telugu Desam,DR CHEVIREDDY BHASKAR REDD,Yuvajana Sramika Rythu Congress Party,50199,Andhra Pradesh
Osmanabad,OMPRAKASH BHUPALSINH ALIAS PAVAN RAJENIMBALKAR,Shiv Sena (Uddhav Balasaheb Thackrey),ARCHANA RANAJAGJITSINH PATIL,Nationalist Congress Party,329846,Maharashtra
Outer Manipur,ALFRED KANNGAM S ARTHUR,Indian National Congress,KACHUI TIMOTHY ZIMIK,Naga Peoples Front,85418,Manipur
PALI,P. P. CHAUDHARY,Bharatiya Janata Party,SANGEETA BENIWAL,Indian National Congress,245351,Rajasthan
PERAMBALUR,ARUN NEHRU,Dravida Munnetra Kazhagam,CHANDRAMOHAN N D,All India Anna Dravida Munnetra Kazhagam,389107,Tamil Nadu
POLLACHI,ESWARASAMY K,Dravida Munnetra Kazhagam,KARTHIKEYAN A,All India Anna Dravida Munnetra Kazhagam,252042,Tamil Nadu
PUDUCHERRY,VE VAITHILINGAM,Indian National Congress,A NAMASSIVAYAM,Bharatiya Janata Party,136516,Puducherry
Palakkad,V K SREEKANDAN,Indian National Congress,A VIJAYARAGHAVAN,Communist Party of India (Marxist),75283,Kerala
Palamau,VISHNU DAYAL RAM,Bharatiya Janata Party,MAMTA BHUIYAN,Rashtriya Janata Dal,288807,Bihar
Palghar,DR. HEMANT VISHNU SAVARA,Bharatiya Janata Party,BHARTI BHARAT KAMDI,Shiv Sena (Uddhav Balasaheb Thackrey),183306,Maharashtra
Panchmahal,RAJPALSINH MAHENDRASINH JADAV,Bharatiya Janata Party,GULABSINH SOMSINH CHAUHAN,Indian National Congress,509342,Gujarat
Parbhani,JADHAV SANJAY ( BANDU ) HARIBHAU,Shiv Sena (Uddhav Balasaheb Thackrey),JANKAR MAHADEV JAGANNATH,Rashtriya Samaj Paksha,134061,Maharashtra
Paschim Champaran,DR.SANJAY JAISWAL,Bharatiya Janata Party,MADAN MOHAN TIWARI,Indian National Congress,136568,Bihar
Patan,DABHI BHARATSINHJI SHANKARJI,Bharatiya Janata Party,CHANDANJI TALAJI THAKOR,Indian National Congress,31876,Gujrat
Pathanamthitta,ANTO ANTONY,Indian National Congress,DR.T.M.THOMAS ISSAC,Communist Party of India (Marxist),66119,Kerala
Patiala,DR DHARAMVIRA GANDHI,Indian National Congress,DR BALBIR SINGH,Aam Aadmi Party,14831,Punjab
Patliputra,MISHA BHARTI,Rashtriya Janata Dal,RAM KRIPAL YADAV,Bharatiya Janata Party,85174,Bihar
Patna Sahib,RAVI SHANKAR PRASAD,Bharatiya Janata Party,ANSHUL AVIJIT,Indian National Congress,153846,Bihar
Peddapalle,VAMSI KRISHNA GADDAM,Indian National Congress,SRINIVAS GOMASE,Bharatiya Janata Party,131364,Telangana
Phulpur,PRAVEEN PATEL,Bharatiya Janata Party,AMAR NATH SINGH MAURYA,Samajwadi Party,4332,Uttar Pradesh
Pilibhit,JITIN PRASADA,Bharatiya Janata Party,BHAGWAT SARAN GANGWAR,Samajwadi Party,164935,Uttar Pradesh
Ponnani,DR. M.P ABDUSSAMAD SAMADANI,Indian Union Muslim League,K.S HAMZA,Communist Party of India (Marxist),235760,Kerala
Porbandar,DR. MANSUKH MANDAVIYA,Bharatiya Janata Party,LALIT VASOYA,Indian National Congress,383360,Gujarat
Pratapgarh,SHIV PAL SINGH PATEL (DR. S P SINGH),Samajwadi Party,SANGAM LAL GUPTA,Bharatiya Janata Party,66206,Uttar Pradesh
Pune,MURLIDHAR MOHOL,Bharatiya Janata Party,DHANGEKAR RAVINDRA HEMRAJ,Indian National Congress,123038,Maharashtra
Puri,SAMBIT PATRA,Bharatiya Janata Party,ARUP MOHAN PATNAIK,Biju Janata Dal,104709,Odisha
Purnia,RAJESH RANJAN ALIAS PAPPU YADAV,Independent,SANTOSH KUMAR,Janata Dal (United),23847,Bihar
Purulia,JYOTIRMAY SINGH MAHATO,Bharatiya Janata Party,SHANTIRAM MAHATO,All India Trinamool Congress,17079,West Bengal
Purvi Champaran,RADHA MOHAN SINGH,Bharatiya Janata Party,DR RAJESH KUMAR,Vikassheel Insaan Party,88287,Bihar
RAIGARH,RADHESHYAM RATHIYA,Bharatiya Janata Party,DR. MENKA DEVI SINGH,Indian National Congress,240391,Chhattisgarh
RAIPUR,BRIJMOHAN AGRAWAL,Bharatiya Janata Party,VIKAS UPADHYAY,Indian National Congress,575285,Chhattisgarh
RAJGARH,RODMAL NAGAR,Bharatiya Janata Party,DIGVIJAYA SINGH,Indian National Congress,146089,Madhya Pradesh
RAJNANDGAON,SANTOSH PANDEY,Bharatiya Janata Party,BHUPESH BAGHEL,Indian National Congress,44411,Chhattisgarh
RAJSAMAND,MAHIMA KUMARI MEWAR,Bharatiya Janata Party,DR. DAMODAR GURJAR,Indian National Congress,392223,Rajasthan
RAMANATHAPURAM,NAVASKANI K,Indian Union Muslim League,PANNEERSELVAM O S/O OTTAKARATHEVAR,Independent,166782,Tamil Nadu
RATLAM,ANITA NAGARSINGH CHOUHAN,Bharatiya Janata Party,KANTILAL BHURIA,Indian National Congress,207232,Madhya Pradesh
REWA,JANARDAN MISHRA,Bharatiya Janata Party,NEELAM ABHAY MISHRA,Indian National Congress,193374,Madhya Pradesh
ROHTAK,DEEPENDER SINGH HOODA,Indian National Congress,DR. ARVIND KUMAR SHARMA,Bharatiya Janata Party,345298,Haryana
Rae Bareli,RAHUL GANDHI,Indian National Congress,DINESH PRATAP SINGH,Bharatiya Janata Party,390030,Uttar Pradesh
Raichur,G. KUMAR NAIK.,Indian National Congress,RAJA AMARESHWARA NAIK.,Bharatiya Janata Party,79781,Karnataka
Raigad,TATKARE SUNIL DATTATREY,Nationalist Congress Party,ANANT GEETE,Shiv Sena (Uddhav Balasaheb Thackrey),82784,Maharashtra
Raiganj,KARTICK CHANDRA PAUL,Bharatiya Janata Party,KALYANI KRISHNA,All India Trinamool Congress,68197,West Bengal
Rajahmundry,DAGGUBATI PURANDHESHWARI,Bharatiya Janata Party,DR. GUDURI SRINIVAS,Yuvajana Sramika Rythu Congress Party,239139,Andhra Pradesh
Rajampet,P V MIDHUN REDDY,Yuvajana Sramika Rythu Congress Party,NALLARI KIRAN KUMAR REDDY,Bharatiya Janata Party,76071,Andhra Pradesh
Rajkot,PARSHOTTAMBHAI RUPALA,Bharatiya Janata Party,DHANANI PARESH,Indian National Congress,484260,Gujarat
Rajmahal,VIJAY KUMAR HANSDAK,Jharkhand Mukti Morcha,TALA MARANDI,Bharatiya Janata Party,178264,Jharkhand
Rampur,MOHIBBULLAH,Samajwadi Party,GHANSHYAM SINGH LODHI,Bharatiya Janata Party,87434,Uttar Pradesh
Ramtek,Shyamkumar (Babalu) Daulat Barve,Indian National Congress,RAJU DEONATH PARVE,Shiv Sena,76768,Maharashtra
Ranaghat,JAGANNATH SARKAR,Bharatiya Janata Party,MUKUT MANI ADHIKARI,All India Trinamool Congress,186899,West Bengal
Ranchi,SANJAY SETH,Bharatiya Janata Party,YASHASWINI SAHAY,Indian National Congress,120512,Jharkhand
Ratnagiri- Sindhudurg,NARAYAN TATU RANE,Bharatiya Janata Party,VINAYAK BHAURAO RAUT,Shiv Sena (Uddhav Balasaheb Thackrey),47858,Maharashtra
Raver,KHADSE RAKSHA NIKHIL,Bharatiya Janata Party,SHRIRAM DAYARAM PATIL,Nationalist Congress Party – Sharadchandra Pawar,272183,Maharashtra
Robertsganj,CHHOTELAL,Samajwadi Party,RINKI SINGH,Apna Dal (Soneylal),129234,Uttar Pradesh
SAGAR,DR. LATA WANKHEDE,Bharatiya Janata Party,CHANDRA BHUSAN SINGH BUNDELA 'GUDDU RAJA',Indian National Congress,471222,Madhya Pradesh
SALEM,SELVAGANAPATHI T M,Dravida Munnetra Kazhagam,VIGNESH P,All India Anna Dravida Munnetra Kazhagam,70357,Tamil Nadu
SATNA,GANESH SINGH,Bharatiya Janata Party,DABBU SIDDHARTH SUKHLAL KUSHWAHA,Indian National Congress,84949,Madhya Pradesh
SHAHDOL,SMT. HIMADRI SINGH,Bharatiya Janata Party,PHUNDE LAL SINGH MARKO,Indian National Congress,397340,Madhya Pradesh
SHIMLA,Suresh Kumar Kashyap,Bharatiya Janata Party,Vinod Sultanpuri,Indian National Congress,91451,Himachal Pradesh
SIDHI,DR. RAJESH MISHRA,Bharatiya Janata Party,KAMLESHWAR INDRAJIT KUMAR,Indian National Congress,206416,Madhya Pradesh
SIKAR,AMRARAM,Communist Party of India (Marxist),SUMEDHANAND SARASWATI,Bharatiya Janata Party,72896,Rajasthan
SIRSA,SELJA,Indian National Congress,ASHOK TANWAR,Bharatiya Janata Party,268497,Haryana
SIVAGANGA,KARTI P CHIDAMBARAM,Indian National Congress,XAVIERDASS A,All India Anna Dravida Munnetra Kazhagam,205664,Tamil Nadu
SONIPAT,SATPAL BRAHAMCHARI,Indian National Congress,MOHAN LAL BADOLI,Bharatiya Janata Party,21816,Haryana
SRINAGAR,AGA SYED RUHULLAH MEHDI,Jammu & Kashmir National Conference,WAHEED UR REHMAN PARA,Jammu & Kashmir Peoples Democratic Party,188416,Jammu & Kashmir
SRIPERUMBUDUR,T R BAALU,Dravida Munnetra Kazhagam,G PREMKUMAR,All India Anna Dravida Munnetra Kazhagam,487029,Tamil Nadu
SURGUJA,CHINTAMANI MAHARAJ,Bharatiya Janata Party,SHASHI SINGH KORAM,Indian National Congress,64822,Chhattisgarh
Sabarkantha,SHOBHANABEN MAHENDRASINH BARAIYA,Bharatiya Janata Party,CHAUDHARI TUSHAR AMARSINH,Indian National Congress,155682,Gujrat
Saharanpur,IMRAN MASOOD,Indian National Congress,RAGHAV LAKHANPAL,Bharatiya Janata Party,64542,Uttar Pradesh
Salempur,RAMASHANKAR RAJBHAR,Samajwadi Party,RAVINDAR KUSHAWAHA,Bharatiya Janata Party,3573,Uttar Pradesh
Samastipur,SHAMBHAVI,Lok Janshakti Party(Ram Vilas),SUNNY HAZARI,Indian National Congress,187251,Bihar
Sambalpur,DHARMENDRA PRADHAN,Bharatiya Janata Party,PRANAB PRAKASH DAS,Biju Janata Dal,119836,Odisha
Sambhal,ZIA UR REHMAN,Samajwadi Party,PARMESHWAR LAL SAINI,Bharatiya Janata Party,121494,Uttar Pradesh
Sangli,VISHAL (DADA) PRAKASHBAPU PATIL,Independent,SANJAY (KAKA) PATIL,Bharatiya Janata Party,100053,Maharashtra
Sangrur,GURMEET SINGH MEET HAYER,Aam Aadmi Party,SUKHPAL SINGH KHAIRA,Indian National Congress,172560,Punjab
Sant Kabir Nagar,LAXMIKANT PAPPU NISHAD,Samajwadi Party,PRAVIN KUMAR NISHAD,Bharatiya Janata Party,92170,Uttar Pradesh
Saran,RAJIV PRATAP RUDY,Bharatiya Janata Party,ROHINI ACHARYA,Rashtriya Janata Dal,13661,Bihar
Sasaram,MANOJ KUMAR,Indian National Congress,SHIVESH KUMAR,Bharatiya Janata Party,19157,Bihar
Satara,SHRIMANT CHH UDAYANRAJE PRATAPSINHAMAHARAJ BHONSLE,Bharatiya Janata Party,SHASHIKANT JAYVANTRAO SHINDE,Nationalist Congress Party – Sharadchandra Pawar,32771,Maharashtra
Secunderabad,G. KISHAN REDDY,Bharatiya Janata Party,DANAM NAGENDER,Indian National Congress,49944,Uttar Pradesh
Shahjahanpur,ARUN KUMAR SAGAR,Bharatiya Janata Party,JYOTSNA GOND,Samajwadi Party,55379,Uttar Pradesh
Sheohar,LOVELY ANAND,Janata Dal (United),RITU JAISWAL,Rashtriya Janata Dal,29143,Bihar
Shillong,DR. RICKY ANDREW J. SYNGKON,Voice of the People Party,VINCENT H. PALA,Indian National Congress,371910,Meghalaya
Shimoga,B.Y.RAGHAVENDRA,Bharatiya Janata Party,GEETHA SHIVARAJKUMAR,Indian National Congress,243715,Karnataka
Shirdi,BHAUSAHEB RAJARAM WAKCHAURE,Shiv Sena (Uddhav Balasaheb Thackrey),LOKHANDE SADASHIV KISAN,Shiv Sena,50529,Maharashtra
Shirur,DR. AMOL RAMSING KOLHE,Nationalist Congress Party – Sharadchandra Pawar,ADHALRAO SHIVAJI DATTATREY,Nationalist Congress Party,140951,Maharashtra
Shrawasti,RAM SHIROMANI VERMA,Samajwadi Party,SAKET MISRA,Bharatiya Janata Party,76673,Uttar Pradesh
Sikkim,INDRA HANG SUBBA,Sikkim Krantikari Morcha,BHARAT BASNETT,Citizen Action Party-Sikkim,80830,Sikkim
Silchar,PARIMAL SUKLABAIDYA,Bharatiya Janata Party,SURYA KANTA SARKAR,Indian National Congress,264311,Assam
Singhbhum,JOBA MAJHI,Jharkhand Mukti Morcha,GEETA KORA,Bharatiya Janata Party,168402,Jharkhand
Sitamarhi,DEVESH CHANDRA THAKUR,Janata Dal (United),ARJUN RAY,Rashtriya Janata Dal,51356,Bihar
Sitapur,RAKESH RATHOR,Indian National Congress,RAJESH VERMA,Bharatiya Janata Party,89641,Uttar Pradesh
Siwan,VIJAYLAKSHMI DEVI,Janata Dal (United),HENA SHAHAB,Independent,92857,Bihar
Solapur,PRANITI SUSHILKUMAR SHINDE,Indian National Congress,RAM VITTHAL SATPUTE,Bharatiya Janata Party,74197,Maharashtra
Sonitpur,RANJIT DUTTA,Bharatiya Janata Party,PREMLAL GANJU,Indian National Congress,361408,Assam
South Delhi,RAMVIR SINGH BIDHURI,Bharatiya Janata Party,SAHI RAM,Aam Aadmi Party,124333,Delhi
South Goa,CAPTAIN VIRIATO FERNANDES,Indian National Congress,PALLAVI SHRINIVAS DEMPO,Bharatiya Janata Party,13535,Goa
Srerampur,KALYAN BANERJEE,All India Trinamool Congress,KABIR SHANKAR BOSE,Bharatiya Janata Party,174830,West Bengal
Srikakulam,KINJARAPU RAMMOHAN NAIDU,Telugu Desam,TILAK PERADA,Yuvajana Sramika Rythu Congress Party,327901,Andhra Pradesh
Sultanpur,RAMBHUAL NISHAD,Samajwadi Party,MANEKA SANJAY GANDHI,Bharatiya Janata Party,43174,Uttar Pradesh
Sundargarh,JUAL ORAM,Bharatiya Janata Party,DILIP KUMAR TIRKEY,Biju Janata Dal,138808,Odisha
Supaul,DILESHWAR KAMAIT,Janata Dal (United),CHANDRAHAS CHAUPAL,Rashtriya Janata Dal,169803,Bihar
Surat,MUKESHKUMAR CHANDRAKAANT DALAL,Bharatiya Janata Party,,Indian National Congress,29000,Gujarat
Surendranagar,CHANDUBHAI CHHAGANBHAI SHIHORA,Bharatiya Janata Party,RUTVIKBHAI LAVJIBHAI MAKWANA,Indian National Congress,261617,Gujarat
TENKASI,DR RANI SRI KUMAR,Dravida Munnetra Kazhagam,DR K KRISHNASAMY,All India Anna Dravida Munnetra Kazhagam,196199,Tamil Nadu
THANJAVUR,MURASOLI S,Dravida Munnetra Kazhagam,SIVANESAN P,Desiya Murpokku Dravida Kazhagam,319583,Tamil Nadu
THENI,THANGA TAMILSELVAN,Dravida Munnetra Kazhagam,TTV DHINAKARAN,Amma Makkal Munnettra Kazagam,278825,Tamil Nadu
THOOTHUKKUDI,KANIMOZHI KARUNANIDHI,Dravida Munnetra Kazhagam,SIVASAMY VELUMANI R,All India Anna Dravida Munnetra Kazhagam,392738,Tamil Nadu
TIKAMGARH,DR. VIRENDRA KUMAR,Bharatiya Janata Party,KHUMAN URF PANKAJ AHIRWAR,Indian National Congress,403312,Madhya Pradesh
TIRUCHIRAPPALLI,DURAI VAIKO,Marumalarchi Dravida Munnetra Kazhagam,KARUPPAIAH. P,All India Anna Dravida Munnetra Kazhagam,313094,Tamil Nadu
TIRUNELVELI,ROBERT BRUCE C,Indian National Congress,NAINAR NAGENTHRAN,Bharatiya Janata Party,165620,Tamil Nadu
TIRUPPUR,"SUBBARAYAN, K.",Communist Party of India,"ARUNACHALAM, P.",All India Anna Dravida Munnetra Kazhagam,125928,Tamil Nadu
TIRUVALLUR,Sasikanth Senthil,Indian National Congress,"Balaganapathy, V. Pon",Bharatiya Janata Party,572155,Tamil Nadu
TIRUVANNAMALAI,"ANNADURAI, C.N.",Dravida Munnetra Kazhagam,KALIYAPERUMAL M,All India Anna Dravida Munnetra Kazhagam,233931,Tamil Nadu
TONK-SAWAI MADHOPUR,HARISH CHANDRA MEENA,Indian National Congress,SUKHBIR SINGH JAUNAPURIA,Bharatiya Janata Party,64949,Rajasthan
Tamluk,ABHIJIT GANGOPADHYAY,Bharatiya Janata Party,DEBANGSHU BHATTACHARYA,All India Trinamool Congress,77733,West Bengal
Tehri Garhwal,MALA RAJYA LAKSHMI SHAH,Bharatiya Janata Party,JOT SINGH GUNSOLA,Indian National Congress,272493,Uttarakhand
Thane,NARESH GANPAT MHASKE,Shiv Sena,RAJAN BABURAO VICHARE,Shiv Sena (Uddhav Balasaheb Thackrey),217011,Maharashtra
Thirupathi(SC),GURUMOORTHY MADDILA,Yuvajana Sramika Rythu Congress Party,VARA PRASAD RAO VELAGAPALLI,Bharatiya Janata Party,14569,Andhra Pradesh
Thiruvananthapuram,SHASHI THAROOR,Indian National Congress,RAJEEV CHANDRASEKHAR,Bharatiya Janata Party,16077,Kerala
Thrissur,SURESH GOPI,Bharatiya Janata Party,ADV V S SUNILKUMAR,Communist Party of India,74686,Kerala
Tripura East,KRITI DEVI DEBBARMAN,Bharatiya Janata Party,RAJENDRA REANG,Communist Party of India (Marxist),486819,Tripura
Tripura West,BIPLAB KUMAR DEB,Bharatiya Janata Party,ASISH KUMAR SAHA,Indian National Congress,611578,Tripura
Tumkur,V. SOMANNA,Bharatiya Janata Party,S.P. MUDDAHANUMEGOWDA,Indian National Congress,175594,Karnataka
Tura,SALENG A SANGMA,Indian National Congress,AGATHA K SANGMA,National People's Party,155241,Meghalaya
UDAIPUR,MANNA LAL RAWAT,Bharatiya Janata Party,TARACHAND MEENA,Indian National Congress,261608,Rajasthan
UDHAMPUR,DR JITENDRA SINGH,Bharatiya Janata Party,CH LAL SINGH,Indian National Congress,124373,Jammu & Kashmir
UJJAIN,ANIL FIROJIYA,Bharatiya Janata Party,MAHESH PARMAR,Indian National Congress,375860,Madhya Pradesh
Udupi Chikmagalur,KOTA SRINIVAS POOJARY,Bharatiya Janata Party,K. JAYAPRAKASH HEGDE,Indian National Congress,259175,Karnataka
Ujiarpur,NITYANAND RAI,Bharatiya Janata Party,ALOK KUMAR MEHTA,Rashtriya Janata Dal,60102,Bihar
Uluberia,SAJDA AHMED,All India Trinamool Congress,ARUNUDAY PAULCHOWDHURY,Bharatiya Janata Party,218673,West Bengal
Unnao,SWAMI SACHCHIDANAND HARI SAKSHI,Bharatiya Janata Party,ANNU TANDON,Samajwadi Party,35818,Uttar Pradesh
Uttara Kannada,VISHWESHWAR HEGDE KAGERI,Bharatiya Janata Party,DR. ANJALI NIMBALKAR,Indian National Congress,337428,Karnataka
VELLORE,DM KATHIR ANAND,Dravida Munnetra Kazhagam,AC SHANMUGAM,Bharatiya Janata Party,215702,Tamil Nadu
VIDISHA,SHIVRAJ SINGH CHOUHAN,Bharatiya Janata Party,PRATAPBHANU SHARMA,Indian National Congress,821408,Madhya Pradesh
VILUPPURAM,RAVIKUMAR. D,Viduthalai Chiruthaigal Katch,BHAGYARAJ. J,All India Anna Dravida Munnetra Kazhagam,70703,Tamil Nadu
VIRUDHUNAGAR,MANICKAM TAGORE B,Indian National Congress,VIJAYAPRABHAKARAN V,Desiya Murpokku Dravida Kazhagam,4379,Tamil Nadu
Vadakara,SHAFI PARAMBIL,Indian National Congress,K K SHAILAJA TEACHER,Communist Party of India (Marxist),114506,Kerala
Vadodara,DR. HEMANG JOSHI,Bharatiya Janata Party,PADHIYAR JASHPALSINH MAHENDRASINH (BAPU),Indian National Congress,582126,Gujarat
Vaishali,VEENA DEVI,Lok Janshakti Party(Ram Vilas),VIJAY KUMAR SHUKLA,Rashtriya Janata Dal,89634,Bihar
Valmiki Nagar,SUNIL KUMAR,Janata Dal (United),DEEPAK YADAV,Rashtriya Janata Dal,98675,Bihar
Valsad,DHAVAL LAXMANBHAI PATEL,Bharatiya Janata Party,ANANTKUMAR HASMUKHBHAI PATEL,Indian National Congress,210704,Gujarat
Varanasi,NARENDRA MODI,Bharatiya Janata Party,AJAY RAI,Indian National Congress,152513,Uttar Pradesh
Vijayawada,KESINENI SIVANATH (CHINNI),Telugu Desam,KESINENI SRINIVAS (NANI),Yuvajana Sramika Rythu Congress Party,282085,Andhra Pradesh
Visakhapatnam,SRIBHARAT MATHUKUMILI,Telugu Desam,JHANSI LAKSHMI. BOTCHA.,Yuvajana Sramika Rythu Congress Party,504247,Andhra Pradesh
Vizianagaram,APPALANAIDU KALISETTI,Telugu Desam,BELLANA CHANDRASEKHAR,Yuvajana Sramika Rythu Congress Party,249351,Andhra Pradesh
Warangal,KADIYAM KAVYA,Indian National Congress,AROORI RAMESH,Bharatiya Janata Party,220339,Telangana
Wardha,AMAR SHARADRAO KALE,Nationalist Congress Party – Sharadchandra Pawar,RAMDAS CHANDRABHAN TADAS,Bharatiya Janata Party,81648,Maharashtra
Wayanad,RAHUL GANDHI,Indian National Congress,ANNIE RAJA,Communist Party of India,364422,Kerala
West Delhi,KAMALJEET SEHRAWAT,Bharatiya Janata Party,MAHABAL MISHRA,Aam Aadmi Party,199013,Delhi
Yavatmal- Washim,SANJAY UTTAMRAO DESHMUKH,Shiv Sena (Uddhav Balasaheb Thackrey),RAJSHRITAI HEMANT PATIL (MAHALLE),Shiv Sena,94473,Maharashtra
Zahirabad,SURESH KUMAR SHETKAR,Indian National Congress,B. B. PATIL,Bharatiya Janata Party,46188,Telangana
